month,City,Air_code,State,Airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
1,Casper,CPR,WY,Casper/Natrona County International,67,13,5.16,0,5.42,0,2.42,0,0,723,440,0,163,0,120
1,Cedar City,CDC,UT,Cedar City Regional,53,17,2.86,0,13.27,0,0.87,1,0,710,174,0,478,0,58
1,Cedar Rapids/Iowa City,CID,IA,The Eastern Iowa,337,85,30.86,5.2,25.58,0.66,22.71,14,1,7018,3244,410,1403,13,1948
1,Charleston,CHS,SC,Charleston AFB/International,958,189,78.36,10.06,39,0.57,61.03,14,1,11877,5041,801,1760,45,4230
1,Charleston/Dunbar,CRW,WV,Yeager,191,54,26.63,0.27,8.8,0,18.3,9,2,3226,1641,29,296,0,1260
1,Charlotte,CLT,NC,Charlotte Douglas International,9024,1185,364.44,37.68,367.33,3.95,411.59,180,7,63218,23878,3109,12005,153,24073
1,Charlotte Amalie,STT,VI,Cyril E King,497,87,34.42,7.59,31.48,0.34,13.17,3,0,6690,3807,574,1182,43,1084
1,Charlottesville,CHO,VA,Charlottesville Albemarle,215,70,18.98,3.24,14.32,0,33.45,6,0,6147,1764,904,436,0,3043
1,Chattanooga,CHA,TN,Lovell Field,412,109,35.61,6.86,27.66,0,38.89,8,0,12549,5482,1856,1311,0,3900
1,Chicago,MDW,IL,Chicago Midway International,6615,1124,251,84.45,254.05,2.07,532.43,204,55,58015,12986,6799,10023,52,28155
1,Chicago,ORD,IL,Chicago O'Hare International,18783,3773,839.77,121.85,1482.42,1.39,1327.58,355,28,275078,76337,13398,76920,145,108278
1,Christiansted,STX,VI,Henry E. Rohlsen,110,29,14.65,1.05,4.5,0,8.79,0,0,1520,925,40,149,0,406
1,Cincinnati,CVG,OH,Cincinnati/Northern Kentucky International,1037,204,66.71,12.44,46.99,0,77.86,7,2,14614,4674,2054,1832,0,6054
1,Cleveland,CLE,OH,Cleveland-Hopkins International,2614,513,170.93,17.85,122.35,1.18,200.69,43,6,34633,12744,1674,5618,37,14560
1,Cody,COD,WY,Yellowstone Regional,61,10,1.69,0.73,6.13,0,1.44,1,1,427,71,70,227,0,59
