month,Cold,Fog,Hail,Precipitation,Rain,Snow,Storm,EventTotal,Avg_Severity,LocationLat,LocationLng,City,County,State,ZipCode
1,0.0,6.0,0.0,1.0,75.0,0.0,0.0,82,1.5,34.3667,-118.5667,Stevenson Ranch,Los Angeles,CA,91381.0
1,11.0,61.0,0.0,0.0,5.0,50.0,0.0,127,2.716535433070866,46.6667,-113.15,Drummond,Granite,MT,59832.0
1,10.0,6.0,0.0,0.0,1.0,25.0,0.0,42,2.1904761904761907,46.4333,-109.8333,Two Dot,Wheatland,MT,59085.0
1,0.0,18.0,0.0,0.0,75.0,25.0,0.0,118,1.4576271186440677,38.9146,-82.0986,Point Pleasant,Mason,WV,25550.0
1,1.0,10.0,0.0,0.0,32.0,1.0,0.0,44,1.75,33.5978,-83.1389,Greensboro,Greene,GA,30642.0
1,1.0,14.0,0.0,0.0,38.0,9.0,0.0,62,1.7903225806451613,39.1605,-89.6742,Litchfield,Montgomery,IL,62056.0
1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4.0,40.449,-106.7492,Steamboat Springs,Routt,CO,80487.0
1,1.0,5.0,0.0,0.0,41.0,1.0,0.0,48,1.5208333333333333,30.2427,-92.6735,Jennings,Jefferson Davis,LA,70546.0
1,0.0,10.0,0.0,0.0,55.0,0.0,0.0,65,1.5692307692307692,29.908,-96.95,La Grange,Fayette,TX,78945.0
1,0.0,141.0,0.0,0.0,0.0,59.0,0.0,200,2.695,47.6,-115.3667,Thompson Falls-West End,Sanders,MT,59873.0
1,0.0,45.0,0.0,1.0,35.0,0.0,0.0,81,2.753086419753086,30.0719,-83.5736,Perry,Taylor,FL,32348.0
1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2.5,29.8448,-82.0475,Starke,Clay,FL,32091.0
1,4.0,44.0,0.0,0.0,0.0,36.0,1.0,85,2.4235294117647057,47.451,-99.15100000000001,Carrington,Foster,ND,58421.0
1,0.0,15.0,0.0,1.0,70.0,39.0,0.0,125,1.368,38.6869,-80.6517,Sutton,Braxton,WV,26601.0
1,0.0,5.0,0.0,0.0,76.0,1.0,0.0,82,1.475609756097561,34.6887,-86.0059,Scottsboro,Jackson,AL,35768.0
1,0.0,5.0,0.0,1.0,72.0,3.0,0.0,81,1.5185185185185186,34.4737,-85.7214,Fort Payne,DeKalb,AL,35968.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,37.6167,-109.4667,Blanding,San Juan,UT,84511.0
1,8.0,9.0,0.0,0.0,0.0,21.0,0.0,38,2.236842105263158,39.0503,-105.5144,Lake George,Park,CO,80827.0
1,0.0,24.0,0.0,0.0,1.0,72.0,12.0,109,2.2660550458715596,34.1,-105.6833,Corona,Lincoln,NM,88318.0
1,0.0,13.0,0.0,0.0,71.0,34.0,0.0,118,1.3898305084745763,40.3268,-82.5201,Mount Vernon,Knox,OH,43050.0
1,1.0,19.0,0.0,0.0,39.0,2.0,2.0,63,2.0317460317460316,36.4042,-90.6479,Corning,Clay,AR,72422.0
1,10.0,13.0,0.0,0.0,25.0,4.0,0.0,52,2.423076923076923,34.295,-103.786,Elida,Roosevelt County,NM,
1,18.0,0.0,0.0,4.0,0.0,0.0,0.0,22,3.4545454545454546,33.9133,-94.8546,Idabel,McCurtain,OK,74745.0
1,0.0,6.0,0.0,0.0,16.0,18.0,0.0,40,1.6,35.799,-107.181,Cuba,Sandoval,NM,87013.0
1,1.0,5.0,0.0,2.0,74.0,0.0,0.0,82,1.6585365853658536,30.7311,-86.1538,Defuniak Springs,Walton,FL,32435.0
1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,1.0,29.7239,-98.6946,Boerne,Bexar,TX,78006.0
1,16.0,0.0,0.0,0.0,0.0,0.0,3.0,19,4.0,47.7912,-99.9317,Harvey,Wells,ND,58341.0
1,0.0,9.0,0.0,0.0,48.0,11.0,0.0,68,1.3676470588235294,37.3363,-88.1097,Marion,Crittenden,KY,42064.0
1,0.0,11.0,0.0,0.0,59.0,0.0,0.0,70,1.6142857142857143,30.4412,-93.4735,Dequincy,Calcasieu,LA,70633.0
1,5.0,41.0,0.0,0.0,0.0,69.0,1.0,116,1.7155172413793103,39.4256,-107.3792,Glenwood Springs,Garfield County,CO,
1,0.0,18.0,0.0,0.0,39.0,0.0,4.0,61,1.540983606557377,31.8798,-106.6973,Santa Teresa,Doña Ana,NM,88008.0
1,0.0,15.0,0.0,0.0,47.0,8.0,0.0,70,1.7285714285714286,35.704,-79.50399999999999,Siler City,Chatham,NC,27344.0
1,0.0,23.0,0.0,0.0,1.0,23.0,0.0,47,2.297872340425532,48.726000000000006,-116.295,Bonners Ferry,Boundary,ID,83805.0
1,8.0,25.0,0.0,0.0,22.0,0.0,0.0,55,2.1454545454545455,32.567,-84.251,Butler,Taylor,GA,31006.0
1,2.0,0.0,0.0,0.0,13.0,0.0,0.0,15,1.4,33.227,-84.275,Griffin,Spalding,GA,30224.0
1,4.0,2.0,0.0,0.0,26.0,34.0,0.0,66,1.303030303030303,43.9855,-73.0955,Middlebury,Addison,VT,5753.0
1,0.0,28.0,0.0,1.0,73.0,1.0,0.0,103,1.6019417475728155,30.3564,-95.008,Cleveland,Liberty,TX,77327.0
1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,30.0481,-102.2131,Dryden,Terrell,TX,78851.0
1,1.0,16.0,0.0,0.0,23.0,74.0,0.0,114,1.4473684210526316,42.32,-113.33,Malta,Cassia,ID,83342.0
1,1.0,14.0,0.0,4.0,90.0,0.0,0.0,109,1.8623853211009174,31.3087,-86.3938,Andalusia,Covington,AL,36421.0
1,15.0,37.0,0.0,0.0,1.0,111.0,1.0,165,1.9515151515151514,46.218,-100.245,Linton,Emmons,ND,58552.0
1,1.0,30.0,0.0,3.0,33.0,0.0,0.0,67,2.5074626865671643,29.6931,-91.0986,Morgan City,St. Mary,LA,70380.0
1,0.0,46.0,0.0,3.0,47.0,0.0,0.0,96,2.6145833333333335,29.78,-93.3,Cameron,Cameron,LA,70631.0
1,5.0,4.0,0.0,0.0,4.0,0.0,0.0,13,2.769230769230769,41.1533,-104.1302,Pine Bluffs,Laramie,WY,82082.0
1,0.0,4.0,0.0,0.0,121.0,0.0,0.0,125,1.448,35.6656,-121.2847,San Simeon,San Luis Obispo,CA,93452.0
1,4.0,7.0,0.0,1.0,70.0,3.0,0.0,85,1.6,34.2291,-86.2558,Albertville,Marshall,AL,35950.0
